"Interneti kasutamine";"2005";"Mehed";60.1
"Interneti kasutamine";"2005";"Naised";56.2
"Interneti kasutamine";"2005";"16-24-aastased";87.4
"Interneti kasutamine";"2005";"25-34-aastased";75.0
"Interneti kasutamine";"2005";"35-44-aastased";69.7
"Interneti kasutamine";"2005";"45-54-aastased";54.9
"Interneti kasutamine";"2005";"55-64-aastased";31.3
"Interneti kasutamine";"2005";"65-74-aastased";9.7
"Interneti kasutamine";"2005";"Esimese taseme või madalama haridusega isikud";47.7
"Interneti kasutamine";"2005";"Teise taseme haridusega isikud";53.2
"Interneti kasutamine";"2005";"Kolmanda taseme haridusega isikud";74.2
"Interneti kasutamine";"2005";"Töötajad ehk (tööga) hõivatud";68.9
"Interneti kasutamine";"2005";"Töötud";41.0
"Interneti kasutamine";"2005";"Mittetöötavad (üli)õpilased";99.0
"Interneti kasutamine";"2005";"Mittetöötavad pensionärid ja teised mitteaktiivsed";18.3
"Interneti kasutamine";"2006";"Mehed";61.4
"Interneti kasutamine";"2006";"Naised";60.3
"Interneti kasutamine";"2006";"16-24-aastased";93.9
"Interneti kasutamine";"2006";"25-34-aastased";83.4
"Interneti kasutamine";"2006";"35-44-aastased";72.0
"Interneti kasutamine";"2006";"45-54-aastased";55.6
"Interneti kasutamine";"2006";"55-64-aastased";29.6
"Interneti kasutamine";"2006";"65-74-aastased";10.8
"Interneti kasutamine";"2006";"Esimese taseme või madalama haridusega isikud";48.9
"Interneti kasutamine";"2006";"Teise taseme haridusega isikud";56.5
"Interneti kasutamine";"2006";"Kolmanda taseme haridusega isikud";78.6
"Interneti kasutamine";"2006";"Töötajad ehk (tööga) hõivatud";71.2
"Interneti kasutamine";"2006";"Töötud";44.4
"Interneti kasutamine";"2006";"Mittetöötavad (üli)õpilased";98.0
"Interneti kasutamine";"2006";"Mittetöötavad pensionärid ja teised mitteaktiivsed";19.0
"Interneti kasutamine";"2007";"Mehed";63.2
"Interneti kasutamine";"2007";"Naised";63.3
"Interneti kasutamine";"2007";"16-24-aastased";93.3
"Interneti kasutamine";"2007";"25-34-aastased";86.4
"Interneti kasutamine";"2007";"35-44-aastased";78.1
"Interneti kasutamine";"2007";"45-54-aastased";56.8
"Interneti kasutamine";"2007";"55-64-aastased";32.5
"Interneti kasutamine";"2007";"65-74-aastased";13.7
"Interneti kasutamine";"2007";"Esimese taseme või madalama haridusega isikud";51.4
"Interneti kasutamine";"2007";"Teise taseme haridusega isikud";59.3
"Interneti kasutamine";"2007";"Kolmanda taseme haridusega isikud";79.4
"Interneti kasutamine";"2007";"Töötajad ehk (tööga) hõivatud";72.8
"Interneti kasutamine";"2007";"Töötud";58.9
"Interneti kasutamine";"2007";"Mittetöötavad (üli)õpilased";98.5
"Interneti kasutamine";"2007";"Mittetöötavad pensionärid ja teised mitteaktiivsed";23.3
"Interneti kasutamine";"2008";"Mehed";66.1
"Interneti kasutamine";"2008";"Naised";65.5
"Interneti kasutamine";"2008";"16-24-aastased";94.8
"Interneti kasutamine";"2008";"25-34-aastased";89.5
"Interneti kasutamine";"2008";"35-44-aastased";80.4
"Interneti kasutamine";"2008";"45-54-aastased";60.3
"Interneti kasutamine";"2008";"55-64-aastased";36.5
"Interneti kasutamine";"2008";"65-74-aastased";15.6
"Interneti kasutamine";"2008";"Esimese taseme või madalama haridusega isikud";54.0
"Interneti kasutamine";"2008";"Teise taseme haridusega isikud";62.5
"Interneti kasutamine";"2008";"Kolmanda taseme haridusega isikud";80.9
"Interneti kasutamine";"2008";"Töötajad ehk (tööga) hõivatud";75.6
"Interneti kasutamine";"2008";"Töötud";70.4
"Interneti kasutamine";"2008";"Mittetöötavad (üli)õpilased";99.4
"Interneti kasutamine";"2008";"Mittetöötavad pensionärid ja teised mitteaktiivsed";26.6
"Interneti kasutamine";"2009";"Mehed";70.2
"Interneti kasutamine";"2009";"Naised";71.2
"Interneti kasutamine";"2009";"16-24-aastased";97.9
"Interneti kasutamine";"2009";"25-34-aastased";95.1
"Interneti kasutamine";"2009";"35-44-aastased";86.4
"Interneti kasutamine";"2009";"45-54-aastased";66.8
"Interneti kasutamine";"2009";"55-64-aastased";46.1
"Interneti kasutamine";"2009";"65-74-aastased";13.3
"Interneti kasutamine";"2009";"Esimese taseme või madalama haridusega isikud";56.1
"Interneti kasutamine";"2009";"Teise taseme haridusega isikud";68.7
"Interneti kasutamine";"2009";"Kolmanda taseme haridusega isikud";84.3
"Interneti kasutamine";"2009";"Töötajad ehk (tööga) hõivatud";83.3
"Interneti kasutamine";"2009";"Töötud";70.3
"Interneti kasutamine";"2009";"Mittetöötavad (üli)õpilased";98.7
"Interneti kasutamine";"2009";"Mittetöötavad pensionärid ja teised mitteaktiivsed";31.4
"Interneti kasutamine";"2010";"Mehed";73.2
"Interneti kasutamine";"2010";"Naised";74.5
"Interneti kasutamine";"2010";"16-24-aastased";98.1
"Interneti kasutamine";"2010";"25-34-aastased";95.5
"Interneti kasutamine";"2010";"35-44-aastased";90.4
"Interneti kasutamine";"2010";"45-54-aastased";71.4
"Interneti kasutamine";"2010";"55-64-aastased";47.2
"Interneti kasutamine";"2010";"65-74-aastased";24.8
"Interneti kasutamine";"2010";"Esimese taseme või madalama haridusega isikud";63.1
"Interneti kasutamine";"2010";"Teise taseme haridusega isikud";71.4
"Interneti kasutamine";"2010";"Kolmanda taseme haridusega isikud";84.6
"Interneti kasutamine";"2010";"Töötajad ehk (tööga) hõivatud";85.2
"Interneti kasutamine";"2010";"Töötud";76.0
"Interneti kasutamine";"2010";"Mittetöötavad (üli)õpilased";99.4
"Interneti kasutamine";"2010";"Mittetöötavad pensionärid ja teised mitteaktiivsed";37.9
"Interneti kasutamine";"2011";"Mehed";75.2
"Interneti kasutamine";"2011";"Naised";76.7
"Interneti kasutamine";"2011";"16-24-aastased";98.2
"Interneti kasutamine";"2011";"25-34-aastased";96.4
"Interneti kasutamine";"2011";"35-44-aastased";91.6
"Interneti kasutamine";"2011";"45-54-aastased";76.3
"Interneti kasutamine";"2011";"55-64-aastased";52.6
"Interneti kasutamine";"2011";"65-74-aastased";25.3
"Interneti kasutamine";"2011";"Esimese taseme või madalama haridusega isikud";62.9
"Interneti kasutamine";"2011";"Teise taseme haridusega isikud";73.1
"Interneti kasutamine";"2011";"Kolmanda taseme haridusega isikud";88.1
"Interneti kasutamine";"2011";"Töötajad ehk (tööga) hõivatud";87.1
"Interneti kasutamine";"2011";"Töötud";82.2
"Interneti kasutamine";"2011";"Mittetöötavad (üli)õpilased";99.8
